epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1436.37,0.94406,1.92301,0.93734,0.97503,0.95797,0.97173,0.76158,0.7746,1.04989,0.87228,0.000663946,0.000663946,0.000663946
2,2771.47,0.84142,0.98942,0.89135,0.98019,0.95622,0.97925,0.75463,0.81155,0.74862,0.87326,0.00119888,0.00119888,0.00119888
3,4085,0.81322,0.71085,0.88176,0.98005,0.96763,0.9788,0.76671,0.72925,0.6628,0.86058,0.00160182,0.00160182,0.00160182
4,5319.75,0.78854,0.60525,0.86368,0.98758,0.96715,0.98435,0.80616,0.68803,0.53138,0.84094,0.001406,0.001406,0.001406
5,6575.41,0.73198,0.52832,0.85436,0.96961,0.96957,0.97843,0.79604,0.69804,0.49868,0.83265,0.001208,0.001208,0.001208
6,7747.95,0.69537,0.48386,0.84628,0.9856,0.95883,0.98366,0.81418,0.63504,0.46261,0.82749,0.00101,0.00101,0.00101
7,8911.31,0.66149,0.44257,0.83404,0.98974,0.96908,0.98867,0.84856,0.57785,0.39781,0.81878,0.000812,0.000812,0.000812
8,10080.4,0.61539,0.40823,0.82891,0.97915,0.97541,0.98885,0.85138,0.58457,0.37976,0.81553,0.000614,0.000614,0.000614
9,46152.2,0.59204,0.38535,0.81683,0.9925,0.96812,0.9927,0.86899,0.5388,0.3537,0.80658,0.000416,0.000416,0.000416
